PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Dee Alford,2567244,DB,ATL,@TB,3,,,,1,,,,,,,,,1,,,,42,10.50
Jessie Bates,2560970,DB,ATL,@TB,6,2,,,,,,,,,,,,,,,,43,10.20
Jack Jones,2567940,DB,MIA,@PIT,6,2,,,,,,,,,,,,,,,,44,10.20
Calen Bullock,2572081,DB,HOU,ARI,3,1,,,,,,,,,,,,2,,,,45,10.10
Byron Murphy,2562318,DB,MIN,@DAL,3,1,,,,,,,,,,,,2,,,,46,10.10
Xavier Watts,2573921,DB,ATL,@TB,5,4,,,,,,,,,,,,,,,,47,9.90
Emmanuel Forbes,2570371,DB,LAR,DET,4,2,,,,,,,,,,,,1,,,,48,9.70
Marlon Humphrey,2558067,DB,BAL,@CIN,2,,,,1,,,,,,,,,1,,21,,49,9.70
Devon Witherspoon,2570323,DB,SEA,IND,4,2,,,,,,,,,,,,1,,,,50,9.70
Coby Bryant,2568234,DB,SEA,IND,2,1,,,1,,,,,,,,,1,,,,51,9.60
Chamarri Conner,2569927,DB,KC,LAC,5,1,,1,,,,,,,,,,,,,,52,9.60
Minkah Fitzpatrick,2560725,DB,MIA,@PIT,5,1,,1,,,,,,,,,,,,,,53,9.60
Amik Robertson,2564430,DB,DET,@LAR,3,,,,,,,,,,,,,2,,,,54,9.50
Ronnie Hickman Jr.,2570867,DB,CLE,@CHI,3,4,,,,,,,,,,,,1,,,,55,9.40
